project_name,seq_num,template,charge_type_1,charge_start_soc,charge_current_param_1,charge_current_param_2,charge_current_param_3,charge_current_param_4,charge_soc_param_1,charge_soc_param_2,charge_voltage_offset_1,charge_fast_soc_limit,charge_cutoff_voltage,charge_constant_voltage_time,charge_rest_time,discharge_constant_current,discharge_cutoff_voltage,discharge_rest_time,cell_temperature_nominal,cell_type,capacity_nominal,diagnostic_type,diagnostic_parameter_set,diagnostic_start_cycle,diagnostic_interval
RapidC,123,diagnosticV4.000,step,0.05,0.8547984647,1.619554019,1.579700241,0.9654739421,0.1272227857,0.6191895751,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,124,diagnosticV4.000,step,0.05,0.650657226,1.788344348,1.376416337,0.3638602448,0.1414287335,0.7250371242,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,125,diagnosticV4.000,step,0.05,1.74008584,1.876613414,0.6145505403,0.4643415104,0.280556101,0.6900980539,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,126,diagnosticV4.000,step,0.05,1.991231183,2.215737445,1.192355943,0.3990345099,0.1701741902,0.4026456357,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,127,diagnosticV4.000,step,0.05,1.888642028,1.919079068,1.347189288,0.6538082716,0.2699717762,0.4286332109,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,128,diagnosticV4.000,step,0.05,0.5550995387,2.261466877,0.9219321051,0.266688564,0.157693858,0.6762655,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,129,diagnosticV4.000,step,0.05,1.232535214,1.981365242,0.7254007619,0.2145562858,0.2914369912,0.5138145701,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,130,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,131,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,132,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,133,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,134,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,135,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,136,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
